episode,total_reward,mean_Re,mean_gdp,mean_infected
0,-36.26743388077193,0.5996041117101036,92.17972019777586,0.0024128182610822467
1,0.0,0.415460419819179,90.65947275790992,0.00020499561711683124
2,0.0,0.6199448346636224,93.2944741712801,0.00019969078581312473
3,0.0,0.5710002593879484,92.66002508788192,0.00020938152878063456
4,-6.0229037077697285,0.5863092823985825,92.03506597567456,0.002296277383795177
5,0.0,0.4103539366359205,90.59852196280984,0.00017148349069404749
6,0.0,0.4201061010104546,90.70581911802184,0.0001757091342334134
7,0.0,0.4482381320155581,91.04392776061289,0.00018895416188914222
8,-6.0445938327975455,0.5849811582098219,92.02430496708904,0.0022898542593206774
9,0.0,0.44163088173025056,90.96141671510843,0.00017446540312236506
10,0.0,0.6537814742143995,93.6925701098354,0.00018924012775169168
11,0.0,0.6520965777696259,93.67652561537875,0.00017937388882437823
12,-5.960200648392856,0.5842512609395272,92.01858192598782,0.0022744488971282546
13,0.0,0.36945226713893115,90.17619900555371,0.0001802201514420356
14,0.0,0.7087365768446475,94.28438115397286,0.00016392711193010707
15,0.0,0.4211772685196951,90.72138509281882,0.00018512935078971902
16,-5.930281357273998,0.5807441456246535,91.98072278303904,0.002260828999708364
17,0.0,0.5207183001271558,91.97133215964419,0.00017141831749763986
18,0.0,0.5030351577443175,91.73743687522273,0.00017097040280807032
19,0.0,0.5231248397646363,92.00750931711231,0.00016857675788762403
20,-5.647540224024851,0.5784303929575417,91.96331635575184,0.00220925410796024
21,0.0,0.570210464887225,92.62397092182536,0.00016083470472474224
22,0.0,0.4689618567627853,91.297835767692,0.00017201425422042773
23,0.0,0.6933755978282574,94.13237950021761,0.0001711138936596073
24,-5.646902558299189,0.5765150230857501,91.93869528876566,0.0021928760965047047
25,0.0,0.24487629361044425,89.41584521890911,0.0001667127220859499
26,0.0,0.3619980444084507,90.10003258803576,0.00015112911522960676
27,0.0,0.5096535953553278,91.82709599016567,0.00017392095010874376
28,-5.507514596953115,0.5723385194822849,91.88997129384822,0.002166979704084254
29,0.0,0.3918746881110508,90.39336117380525,0.00015799155553445783
30,0.0,0.4422349827729852,90.96141671510841,0.0001506156538385258
31,0.0,0.46940440365824315,91.297835767692,0.0001639310375363297
32,-5.363041994874948,0.5676653168299898,91.85154048927023,0.002123243218199489
33,0.0,0.4112409432574952,90.59852196280984,0.0001488721023123325
34,0.0,0.7213541929889579,94.40173597273977,0.00015377248678371868
35,0.0,0.5783688285787342,92.73196098548168,0.00015054722543125183
36,-5.286060915757844,0.5705607463981167,91.88599486677516,0.002118071004819093
37,0.0,0.5172100647416369,91.9171469623112,0.00016063435112085797
38,0.0,0.5966605489233173,92.9637142680401,0.00014614784474594256
39,0.0,0.5837774812564049,92.80363263459027,0.00015833848597947468
40,-5.096713182188978,0.5653355382685195,91.82939486258387,0.0020681853461464094
41,0.0,0.505334027746488,91.75533348685686,0.00015867499760933423
42,0.0,0.5299781294418339,92.07996931756962,0.00014160754537504143
43,0.0,0.7487931299020222,94.6374467851893,0.00014569643934065566
44,-5.039667564502452,0.567135287339308,91.8542896891891,0.0020442093214739377
45,0.0,0.5502000351945201,92.35230714796266,0.00016379389126062134
46,0.0,0.4839009402127836,91.47161541907948,0.0001424211964764874
47,0.0,0.6062127582875932,93.08685268675161,0.0001451484321721724
48,-5.03808644869423,0.5674140472278366,91.859712676292,0.0020383021253529395
49,0.0,0.5832919243839747,92.78574174889648,0.00014624639713352644
50,0.0,0.6948052469139482,94.13237950021761,0.00015287246488303896
51,0.0,0.37471694100124947,90.21539770731403,0.00014816634350563605
52,-4.91516869278712,0.559582972786573,91.771708301624,0.0020192239692346245
53,0.0,0.6680890419001048,93.83452773863108,0.000130071100518552
54,0.0,0.3052059264953754,89.66118990421043,0.00014367729938404367
55,0.0,0.6745683901140705,93.91138045146297,0.00013954516583616986
56,-4.911453688560869,0.5618766980988305,91.80578015371655,0.0019985425128927585
57,0.0,0.5998387363547037,92.99903075474982,0.00014524661559387863
58,0.0,0.5150853835111633,91.88108470095968,0.00013874644918501528
59,0.0,0.5725484554494794,92.64200465312805,0.00014542532078446453
60,-4.675459037447581,0.5607712514764124,91.79648726795337,0.0019651025675133716
61,0.0,0.4731942365254153,91.33233239401847,0.0001325582329658811
62,0.0,0.6259107628232833,93.32858815765948,0.0001460141736937607
63,0.0,0.5099296326144325,91.80913024341537,0.00014766409942567547
64,-4.561365589965135,0.5518840590944796,91.70810677085622,0.0019182224380179123
65,0.0,0.5402488561281862,92.20700598605475,0.00013711821665702726
66,0.0,0.4978869723660119,91.64825009202939,0.00012992908370938942
