#{"t_start": 1775390142.7105868, "env_id": "None"}
r,l,t---143286.871855,726,302.39515
-143286.871855,726,307.254999
-143286.871855,726,312.212208
-124921.506237,726,597.923397
-124921.506237,726,602.620806
-124921.506237,726,607.249691
-121035.014482,726,881.304284
-121035.014482,726,886.085067
-121035.014482,726,890.901107
-166006.109601,726,1171.267256
-166006.109601,726,1176.08586
-166006.109601,726,1180.909123
-167282.429133,726,1542.702513
-167282.429133,726,1548.212026
-167282.429133,726,1553.821684
-138987.359093,726,1870.683798
-138987.359093,726,1875.589076
-138987.359093,726,1880.217468
-124270.762229,726,2150.255724
-124270.762229,726,2154.839244
-124270.762229,726,2159.388692
-144198.132699,726,2442.78389
-144198.132699,726,2447.979717
-144198.132699,726,2452.75183
-120724.296266,726,2797.334029
-120724.296266,726,2802.64517
-120724.296266,726,2807.408628
-159768.513975,726,3087.824709
-159768.513975,726,3092.687628
-159768.513975,726,3097.485543
-244227.407566,726,3384.682169
-244227.407566,726,3389.335152
-244227.407566,726,3394.024471
-137449.113453,726,3693.787069
-137449.113453,726,3698.776841
-137449.113453,726,3704.39887
81784.178749,726,810.525095---173946.94219,726,832.826306---180020.238754,726,850.803282---187814.57807,726,872.143727
--188140.38546,726,904.32779-18-181546.624609,726,921.903-1787-177905.023828,726,943.88-1799-189077.083987,726,962.029-1867-178750.398057,726,983.804-1916-188000.66963,726,1001.7116-17--187363.380955,726,1023.5382-18--185181.44389,726,1041.23148-1--180494.251556,726,1063.49275-1--179343.968401,726,1085.22612-1--170632.485252,726,1102.89469-1--168464.657605,726,1125.41872--1-176826.893151,726,1143.73739--1-170400.592417,726,1161.37167-17-165558.07837,726,1197.07270--1-175965.020792,726,1226.27573-16-159548.293131,726,1255.35007-15-167020.287359,726,1280.46830-16-154595.123668,726,1312.4399-160-155569.356344,726,1335.2632-160-154346.728978,726,1360.1521-165-158293.022063,726,1387.3063-145-153398.910376,726,1411.4977-154-156804.834041,726,1441.3787-15-153201.819493,726,1463.94961-15-155210.105486,726,1492.33137-15-158097.365961,726,1513.92231-15-154287.476716,726,1556.3536-166-160833.199157,726,1585.0719-161-153362.17351,726,1607.54285-17-154082.618067,726,1635.3721--16-161924.807623,726,1657.1233--1-159077.418858,726,1678.805-1567-155604.52281,726,1715.4643-15-154328.32677,726,1733.57524
--150602.289956,726,1755.549577
--160699.83242,726,1773.664953
-150019.517656,726,1795.230305
--158476.130295,726,1813.235461-1-158590.051037,726,1831.122013-1-164945.395366,726,1853.24257-16-160456.975322,726,1885.54454-15-160515.073837,726,1907.94371-15-147343.308421,726,1925.46414-1--148401.012295,726,1943.35718-1-154755.700463,726,1964.962902---151230.690627,726,1982.464757---147028.636073,726,2004.59775
--143466.040558,726,2022.289805-1-145299.903444,726,2043.828621-1-148472.776401,726,2061.459108-1-146353.485841,726,2079.183667-1-150106.956389,726,2100.594564-1-163336.53308,726,2118.239046
--165707.198225,726,2139.673433
--155184.413951,726,2171.268542
--148492.306533,726,2189.641534-1-157300.12694,726,2212.290903
--145414.72783,726,2230.290409
-149273.988847,726,2252.183204
-143375.86969,726,2270.49251
-144605.876557,726,2291.932192
-145291.678854,726,2309.826007
-149057.49325,726,2327.709262
-138386.40074,726,2349.835592
-132518.410055,726,2367.374816
-138265.814958,726,2389.158661
-138974.101689,726,2406.699755
-134638.505813,726,2429.203163
-139644.553693,726,2467.720212
-135512.311123,726,2486.035099
-145591.097318,726,2508.370841
-135628.656778,726,2525.952365
-138476.422445,726,2548.56674
-143090.836514,726,2566.210398
-136864.837875,726,2587.6335
-138795.19118,726,2626.601648
-135161.411148,726,2660.880349
-137132.527439,726,2700.142861
-123215.640181,726,2728.94254
-129298.417015,726,2751.793173
-131941.050122,726,2774.58119
-133312.129664,726,2808.250337
-130607.550432,726,2830.333321
-131140.787056,726,2847.945622
-134167.051485,726,2869.656887
-118626.479075,726,2888.655975
-125900.247654,726,2906.904676
-122386.340941,726,2928.373876
-125613.792176,726,2946.558429
-120413.103739,726,2968.651363
-115698.813567,726,2986.548084
-127503.204018,726,3008.611983
-119015.832946,726,3027.628268
-113151.245322,726,3045.330673
-116758.388584,726,3067.361547
-119158.529391,726,3101.859601
-118524.239892,726,3125.251833
-110458.807425,726,3143.642219
-122853.888497,726,3162.462184
-121543.063316,726,3184.394797
-132497.760043,726,3203.309536
-126032.008722,726,3226.575729
-126389.014108,726,3246.784061
-128521.945809,726,3274.186667
-137327.89982,726,3292.463086
-133086.380548,726,3310.358419
-138144.803892,726,3332.605453
-138331.506457,726,3350.621086
--129905.659486,726,3372.62371
-145019.789922,726,3405.337391
-124664.307983,726,3431.772554
-126149.613533,726,3460.443462
--132916.076649,726,3478.864123
--119543.759959,726,3501.307203
--122757.773757,726,3520.414656
--115472.232614,726,3542.679353
--114506.273042,726,3560.998209
--118148.382926,726,3579.784037
--114725.870224,726,3602.275473
--117133.831692,726,3620.698587---116020.165508,726,3643.19375-1--108040.369098,726,3661.71893--1-113655.908819,726,3680.25300-1--113450.150007,726,3719.5039-11--111793.487842,726,3737.5291-11--115269.440573,726,3758.966-114--116984.630512,726,3777.033-11-1-115441.960926,726,3798.762-11-1-121125.107688,726,3817.744-13-1-117424.729733,726,3835.581805
