,GDP,GDP_scaled
2020-01-01,21751.238,87.70918363597933
2020-01-02,20460.198985849856,85.75839436527224
2020-01-03,20467.40148943069,85.76927751175637
2020-01-04,20474.60195620428,85.7801575805785
2020-01-05,20481.80038617074,85.79103457173879
2020-01-06,20488.996779330133,85.80190848523735
2020-01-07,20496.19113568234,85.812779321074
2020-01-08,20503.383455227304,85.82364707924864
2020-01-09,20510.57373796514,85.83451175976145
2020-01-10,20517.761983895907,85.84537336261253
2020-01-11,20524.94819301949,85.8562318878017
2020-01-12,20532.132365335885,85.86708733532893
2020-01-13,20539.314500845096,85.87793970519428
2020-01-14,20546.494599547237,85.88878899739787
2020-01-15,20553.672661442193,85.89963521193954
2020-01-16,20560.848686529964,85.91047834881931
2020-01-17,20568.02267481055,85.92131840803717
2020-01-18,20575.194626284065,85.93215538959328
2020-01-19,20582.364540950453,85.94298929348756
2020-01-20,20589.53241880954,85.95382011971975
2020-01-21,20596.698259861558,85.96464786829021
2020-01-22,20603.862064106448,85.97547253919885
2020-01-23,20611.02383154421,85.98629413244565
2020-01-24,20618.18356217473,85.99711264803045
2020-01-25,20625.341255998064,86.00792808595334
2020-01-26,20632.49691301433,86.01874044621448
2020-01-27,20639.650533223466,86.0295497288138
2020-01-28,20646.80211662536,86.04035593375113
2020-01-29,20653.951663220127,86.05115906102662
2020-01-30,20661.099173007766,86.06195911064029
2020-01-31,20668.244645988336,86.0727560825922
2020-02-01,20675.388082161604,86.08354997688205
2020-02-02,20682.529481527687,86.09434079350997
2020-02-03,20689.66884408676,86.10512853247624
2020-02-04,20696.806169838645,86.1159131937806
2020-02-05,20703.941458783287,86.12669477742295
2020-02-06,20711.07471092092,86.13747328340366
2020-02-07,20718.205926251365,86.14824871172246
2020-02-08,20725.33510477451,86.15902106237915
2020-02-09,20732.462246490584,86.16979033537412
2020-02-10,20739.587351399532,86.18055653070725
2020-02-11,20746.710419501353,86.19131964837855
2020-02-12,20753.83145079593,86.20207968838787
2020-02-13,20760.95044528338,86.21283665073534
2020-02-14,20768.0674029637,86.223590535421
2020-02-15,20775.182323836896,86.23434134244482
2020-02-16,20782.295207902906,86.24508907180673
2020-02-17,20789.40605516167,86.25583372350664
2020-02-18,20796.514865613426,86.2665752975449
2020-02-19,20803.621639257995,86.27731379392124
2020-02-20,20810.72637609532,86.28804921263558
2020-02-21,20817.82907612552,86.2987815536881
2020-02-22,20824.92973934865,86.30951081707887
2020-02-23,20832.02836576465,86.32023700280783
2020-02-24,20839.12495537335,86.33096011087468
2020-02-25,20846.219508174923,86.34168014127971
2020-02-26,20853.312024169427,86.352397094023
2020-02-27,20860.402503356745,86.36311096910438
2020-02-28,20867.490945736878,86.37382176652386
2020-02-29,20874.577351309825,86.38452948628141
2020-03-01,20881.661720075703,86.39523412837721
2020-03-02,20888.744052034453,86.4059356928112
2020-03-03,20895.824347185902,86.4166341795831
2020-03-04,20902.902605530282,86.42732958869325
2020-03-05,20909.978827067534,86.43802192014158
2020-03-06,20917.05301179766,86.44871117392809
2020-03-07,20924.12515972054,86.45939735005258
2020-03-08,20931.195270836237,86.47008044851518
2020-03-09,20938.263345144864,86.48076046931602
2020-03-10,20945.329382646363,86.49143741245504
2020-03-11,20952.39338334062,86.50211127793206
2020-03-12,20959.455347227748,86.51278206574725
2020-03-13,20966.51527430775,86.52344977590062
2020-03-14,20973.573164580623,86.53411440839216
2020-03-15,20980.629018046253,86.5447759632217
2020-03-16,20987.682834704756,86.5554344403894
2020-03-17,20994.73461455619,86.56608983989537
2020-03-18,21001.784357600438,86.57674216173943
2020-03-19,21008.832063837443,86.5873914059215
2020-03-20,21015.87773326732,86.59803757244171
2020-03-21,21022.921365890128,86.60868066130021
2020-03-22,21029.96296170575,86.61932067249678
2020-03-23,21037.002520714188,86.62995760603144
2020-03-24,21044.040042915498,86.64059146190428
2020-03-25,21051.07552830968,86.65122224011529
2020-03-26,21058.10897689662,86.6618499406643
2020-03-27,21065.140388676373,86.67247456355138
2020-03-28,21072.169763649115,86.68309610877682
2020-03-29,21079.197101814672,86.69371457634034
2020-03-30,21086.222403172986,86.70432996624187
